"Treatment","Timepoint","Replicate","BIM_mix","Escape_phage","Tracked_BIM","total_CFU","Strain","Titre"
"12-clone","2","6","13-25","17","17",4.2e+08,"PFU",1000
"12-clone","2","7","13-26","19","19",4.5e+08,"PFU",800
"12-clone","2","8","13-27","22","22",1.77e+09,"PFU",32000
"12-clone","3","1","01-Dec","1","1",0,"PFU",0
"12-clone","3","2","01-Dec","4","4",0,"PFU",1800
"12-clone","3","3","01-Dec","7","7",3e+08,"PFU",0
"12-clone","3","4","01-Dec","10","10",0,"PFU",0
"12-clone","3","5","13-24","14","14",2.2e+08,"PFU",0
"12-clone","3","6","13-25","17","17",2.1e+08,"PFU",0
"12-clone","3","7","13-26","19","19",2.5e+08,"PFU",3000
"12-clone","3","8","13-27","22","22",4e+08,"PFU",0
"24-clone","0","1","Jan-24","1","1",3600000,"PFU",2600000
"24-clone","0","2","Jan-24","4","4",850000,"PFU",3200000
"24-clone","0","3","Jan-24","7","7",2200000,"PFU",3200000
"24-clone","0","4","Jan-24","10","10",520000,"PFU",2800000
"24-clone","0","5","Jan-24","13","13",490000,"PFU",1600000
"24-clone","0","6","Jan-24","16","16",930000,"PFU",2800000
"24-clone","0","7","Jan-24","19","19",940000,"PFU",1600000
"24-clone","0","8","Jan-24","22","22",750000,"PFU",2e+06
"24-clone","1","1","Jan-24","1","1",8.2e+08,"PFU",24000
"24-clone","1","2","Jan-24","4","4",5.9e+08,"PFU",54000
"24-clone","1","3","Jan-24","7","7",8.1e+08,"PFU",400
"24-clone","1","4","Jan-24","10","10",1.16e+08,"PFU",5600
"24-clone","1","5","Jan-24","13","13",1.06e+09,"PFU",2400
"24-clone","1","6","Jan-24","16","16",7.2e+07,"PFU",12000
"24-clone","1","7","Jan-24","19","19",7e+08,"PFU",1200
"24-clone","1","8","Jan-24","22","22",3.3e+08,"PFU",4200
"24-clone","2","1","Jan-24","1","1",5.8e+08,"PFU",0
"24-clone","2","2","Jan-24","4","4",4.3e+08,"PFU",2600
"24-clone","2","3","Jan-24","7","7",0,"PFU",0
"24-clone","2","4","Jan-24","10","10",4.5e+08,"PFU",200
"24-clone","2","5","Jan-24","13","13",2.33e+09,"PFU",400
"24-clone","2","6","Jan-24","16","16",1.03e+09,"PFU",0
"24-clone","2","7","Jan-24","19","19",8e+08,"PFU",0
"24-clone","2","8","Jan-24","22","22",4.1e+08,"PFU",1600
"24-clone","3","1","Jan-24","1","1",0,"PFU",0
"24-clone","3","2","Jan-24","4","4",3.1e+08,"PFU",400
"24-clone","3","3","Jan-24","7","7",0,"PFU",0
"24-clone","3","4","Jan-24","10","10",7.8e+08,"PFU",0
"24-clone","3","5","Jan-24","13","13",3.8e+08,"PFU",0
"24-clone","3","6","Jan-24","16","16",0,"PFU",0
"24-clone","3","7","Jan-24","19","19",2.7e+08,"PFU",0
"24-clone","3","8","Jan-24","22","22",9e+08,"PFU",0
"24-clone_control","0","1","Jan-24","ancestral","1",3400000,"PFU",1400000
"24-clone_control","0","2","Jan-24","ancestral","4",970000,"PFU",6e+05
"24-clone_control","0","3","Jan-24","ancestral","7",0,"PFU",3200000
"24-clone_control","0","4","Jan-24","ancestral","10",3e+05,"PFU",2400000
"24-clone_control","0","5","Jan-24","ancestral","13",3800000,"PFU",1400000
"24-clone_control","0","6","Jan-24","ancestral","16",2200000,"PFU",6e+05
"24-clone_control","0","7","Jan-24","ancestral","19",2e+06,"PFU",8e+05
"24-clone_control","0","8","Jan-24","ancestral","22",0,"PFU",1600000
"24-clone_control","1","1","Jan-24","ancestral","1",0,"PFU",0
"24-clone_control","1","2","Jan-24","ancestral","4",7.1e+08,"PFU",600
"24-clone_control","1","3","Jan-24","ancestral","7",5.6e+08,"PFU",0
"24-clone_control","1","4","Jan-24","ancestral","10",2.5e+08,"PFU",200
"24-clone_control","1","5","Jan-24","ancestral","13",9e+08,"PFU",200
"24-clone_control","1","6","Jan-24","ancestral","16",4.2e+07,"PFU",400
"24-clone_control","1","7","Jan-24","ancestral","19",6.1e+08,"PFU",400
"24-clone_control","1","8","Jan-24","ancestral","22",3.9e+08,"PFU",0
"24-clone_control","2","1","Jan-24","ancestral","1",4.7e+08,"PFU",0
"24-clone_control","2","2","Jan-24","ancestral","4",8.3e+08,"PFU",0
"24-clone_control","2","3","Jan-24","ancestral","7",2.69e+09,"PFU",0
"24-clone_control","2","4","Jan-24","ancestral","10",5.6e+08,"PFU",0
"24-clone_control","2","5","Jan-24","ancestral","13",1.94e+09,"PFU",0
"24-clone_control","2","6","Jan-24","ancestral","16",6.1e+08,"PFU",0
"24-clone_control","2","7","Jan-24","ancestral","19",5.5e+08,"PFU",0
"24-clone_control","2","8","Jan-24","ancestral","22",1.01e+09,"PFU",0
"24-clone_control","3","1","Jan-24","ancestral","1",4.2e+08,"PFU",0
"24-clone_control","3","2","Jan-24","ancestral","4",1.04e+09,"PFU",0
"24-clone_control","3","3","Jan-24","ancestral","7",0,"PFU",0
"24-clone_control","3","4","Jan-24","ancestral","10",4.7e+08,"PFU",0
"24-clone_control","3","5","Jan-24","ancestral","13",0,"PFU",0
"24-clone_control","3","6","Jan-24","ancestral","16",0,"PFU",0
"24-clone_control","3","7","Jan-24","ancestral","19",1.29e+09,"PFU",0
"24-clone_control","3","8","Jan-24","ancestral","22",3.4e+08,"PFU",0
"3-clone","0","1","01-Mar","1","1",3100000,"PFU",2e+06
"3-clone","0","2","04-Jun","4","4",4500000,"PFU",5200000
"3-clone","0","3","07-Sep","7","7",3300000,"PFU",3200000
"3-clone","0","4","Oct-13","10","10",2500000,"PFU",2e+06
"3-clone","0","5","14-16","14","14",2e+06,"PFU",2400000
"3-clone","0","6","17-19","17","17",2200000,"PFU",1400000
"3-clone","0","7","19-21","19","19",2600000,"PFU",5e+06
"3-clone","0","8","22-24","22","22",2800000,"PFU",1200000
"3-clone","1","1","01-Mar","1","1",6.28e+09,"PFU",4.8e+07
